Municipio,Data,Precipitacao,DiaSemChuva,Mes,DiaSemana,Estacao_Seca,Municipio_Freq,Latitude,Longitude,media_focos_mes_hist,prob_fogo,risco
SÃO FRANCISCO DE GOIÁS,2026-06-22,0.0,5,6,0,1,0.000774555018511,-15.930856959393246,-49.25922517675899,2.2580645161290325,0.35717104514270037,BAIXO
HIDROLINA,2026-06-22,0.0,5,6,0,1,0.0009628405568526,-14.78351237067298,-49.29993852784245,2.740740740740741,0.35542840332488335,BAIXO
IVOLÂNDIA,2026-06-22,0.0,1,6,0,1,0.0014804411936269,-16.679987246814406,-50.98325370232422,3.4878048780487805,0.3534065264340889,BAIXO
MAURILÂNDIA,2026-06-22,0.0,1,6,0,1,0.0023303104274746,-18.03750092993941,-50.36063856125698,4.36,0.3523301734023102,BAIXO
BRITÂNIA,2026-06-22,0.0,1,6,0,1,0.0024949679766909,-15.098256086081884,-51.20240394542521,1.631578947368421,0.35070689211431905,BAIXO
SIMOLÂNDIA,2026-06-22,0.0,4,6,0,1,0.0011799227069405,-14.434586326028946,-46.58882654789143,2.5789473684210527,0.3497980588258449,BAIXO
PETROLINA DE GOIÁS,2026-06-22,0.0,6,6,0,1,0.0007716015198704,-16.11674724559263,-49.318512368591655,3.56,0.3407144251133368,BAIXO
MONTIVIDIU,2026-06-22,0.0,1,6,0,1,0.0017492095699262,-17.302834146829042,-51.19610715003383,1.625,0.3380311501017343,BAIXO
NOVA IGUAÇU DE GOIÁS,2026-06-22,0.0,5,6,0,1,0.0017403490740043,-14.335840325249317,-49.31212409374217,2.3043478260869565,0.33767661808445176,BAIXO
PILAR DE GOIÁS,2026-06-22,0.0,5,6,0,1,0.0022653334573802,-14.563053642806697,-49.51029317946296,1.4210526315789471,0.33604969278346797,BAIXO
ALTO HORIZONTE,2026-06-22,0.0,5,6,0,1,0.0009111543306412,-14.162393972965113,-49.45279801107309,2.4705882352941178,0.33583537681372094,BAIXO
CAMPOS VERDES,2026-06-22,0.0,5,6,0,1,0.0009022938347192,-14.200869051269477,-49.67078102066461,3.28,0.33577518578530596,BAIXO
FAZENDA NOVA,2026-06-22,0.0,1,6,0,1,0.0038077981224609,-16.080235263157753,-50.93137671149489,2.647058823529412,0.33540967756242707,BAIXO
ITAPIRAPUÃ,2026-06-22,0.0,1,6,0,1,0.0013726384932431,-15.75718984044679,-50.7465760866374,2.4242424242424243,0.33527607225884776,BAIXO
VICENTINÓPOLIS,2026-06-22,0.0,1,6,0,1,0.0018865472567166,-17.717102371829977,-49.92046965643163,4.85,0.3308693444027041,BAIXO
PALESTINA DE GOIÁS,2026-06-22,0.3,0,6,0,1,0.0016318079989603,-16.713753711842983,-51.42754199497641,2.933333333333333,0.33075576997703643,BAIXO
GUARINOS,2026-06-22,0.0,5,6,0,1,0.0012316089331519,-14.677563689499642,-49.737239130745,2.75,0.3270365571489264,BAIXO
GOIANÁPOLIS,2026-06-22,0.0,6,6,0,1,0.0013534407520788,-16.52798048733482,-49.09369703759325,1.7692307692307692,0.3199544003594606,BAIXO
ARENÓPOLIS,2026-06-22,0.0,1,6,0,1,0.0016960465943945,-16.361902054815086,-51.55715988814804,2.2413793103448274,0.3175480887958931,BAIXO
OUVIDOR,2026-06-22,0.0,6,6,0,1,0.0006859500592914,-18.22269684670895,-47.73785347238525,1.36,0.3145060437639189,BAIXO
CORUMBAÍBA,2026-06-22,0.6,0,6,0,1,0.0016332847482806,-18.048104715395148,-48.4749049622824,2.3191489361702127,0.3127268007808396,BAIXO
APORÉ,2026-06-22,1.8,0,6,0,1,0.0023280953034941,-18.7073526543005,-52.08304620766298,4.466666666666667,0.30902557608831194,BAIXO
VIANÓPOLIS,2026-06-22,0.0,1,6,0,1,0.0007620026492882,-16.848283967930477,-48.46851922795139,2.1052631578947367,0.30894492894146336,BAIXO
GUAPÓ,2026-06-22,0.0,1,6,0,1,0.0013896211104268,-16.923914459668058,-49.58948320140861,2.5,0.3052795236735858,BAIXO
SANTA CRUZ DE GOIÁS,2026-06-22,0.3,0,6,0,1,0.0013851908624659,-17.372324572144244,-48.58985156059331,2.351351351351352,0.3051325064334205,BAIXO
CARMO DO RIO VERDE,2026-06-22,0.0,5,6,0,1,0.0007354211615224,-15.426910428711976,-49.742093983937615,2.5217391304347827,0.30385077776264247,BAIXO
TEREZÓPOLIS DE GOIÁS,2026-06-22,0.0,8,6,0,1,0.0007612642746281,-16.451781768427683,-49.07980840150495,2.125,0.3033118905450086,BAIXO
IPORÁ,2026-06-22,0.3,0,6,0,1,0.0012958475285861,-16.39958999360689,-51.174760035598624,1.6444444444444444,0.3007076854973461,BAIXO
ESTRELA DO NORTE,2026-06-22,0.0,5,6,0,1,0.0006290952104589,-13.815008598965576,-49.04348551590312,3.269230769230769,0.2997589193590754,BAIXO
ITAJÁ,2026-06-22,0.6,0,6,0,1,0.0019995185797215,-19.086946202574843,-51.34562507108249,2.5384615384615383,0.2887769146676549,BAIXO
IPIRANGA DE GOIÁS,2026-06-22,0.0,5,6,0,1,0.0008085202528785,-15.155239440421736,-49.6667347648474,1.8928571428571428,0.2868743566083632,BAIXO
DIORAMA,2026-06-22,0.0,1,6,0,1,0.0011001782436429,-16.22661972062711,-51.389931230721885,4.384615384615385,0.2846002645339217,BAIXO
NERÓPOLIS,2026-06-22,0.0,8,6,0,1,0.0010041895378217,-16.425056587028248,-49.17034091583095,1.8571428571428568,0.2845073350356118,BAIXO
SANTO ANTÔNIO DA BARRA,2026-06-22,0.0,1,6,0,1,0.0012611439195585,-17.55961474151254,-50.63551540775774,3.2962962962962963,0.26694689642145797,BAIXO
JANDAIA,2026-06-22,0.0,1,6,0,1,0.0011570330924755,-17.140823818775164,-50.18439081477384,3.55,0.2649943902142875,BAIXO
CAÇU,2026-06-22,1.1,0,6,0,1,0.0017366572007035,-18.69115169498673,-51.169522816602274,4.6,0.2647156528523,BAIXO
PONTALINA,2026-06-22,0.3,0,6,0,1,0.0014390922126578,-17.54112629308756,-49.56409835329973,1.3846153846153846,0.2624102095746209,BAIXO
INACIOLÂNDIA,2026-06-22,0.0,2,6,0,1,0.0013017545258674,-18.422363375480977,-49.93462547993578,7.142857142857143,0.26159598805636053,BAIXO
CASTELÂNDIA,2026-06-22,0.0,1,6,0,1,0.0014516445818805,-18.147960130853747,-50.30679359237395,2.7222222222222223,0.2567453807172353,BAIXO
DAVINÓPOLIS,2026-06-22,0.0,6,6,0,1,0.0007597875253077,-18.113605118464037,-47.53297332981958,2.357142857142857,0.2499737767206924,BAIXO
